file,name,NAME_GR,NAME_ENG,DISTRICT_N,SHAPE.AREA,SHAPE.LEN,polygons,vertices,centroid_lon,centroid_lat,bytes,simplified_tolerance_deg
DIMOS_AGIAS_NAPAS.kml,Dimos Agias Napas,Δήμος Αγίας Νάπας,Dimos Agias Napas,ΑΜΜΟΧΩΣΤΟΣ,"149885138,94329","145498,234869",5,7548,33.9488,34.9977,288585,
DIMOS_AKAMA.kml,Dimos Akama,Δήμος Ακάμα,Dimos Akama,ΠΑΦΟΣ,"141602321,76923","85760,87043",4,6799,32.3494,34.8986,259986,
DIMOS_AMATHOUNTAS.kml,Dimos Amathountas,Δήμος Αμαθούντας,Dimos Amathountas,ΛΕΜΕΣΟΣ,"92613175,772943","58883,380188",1,2073,33.0866,34.7248,80829,
DIMOS_ANATOLIKIS_PAFOU.kml,Dimos Anatolikis Pafou,Δήμος Ανατολικής Πάφου,Dimos Anatolikis Pafou,ΠΑΦΟΣ,"42619662,857724","40176,958087",1,1423,32.4726,34.7549,56306,
DIMOS_ARADIPPOU.kml,Dimos Aradippou,Δήμος Αραδίππου,Dimos Aradippou,ΛΑΡΝΑΚΑ,"110569966,42618","116906,376513",1,2670,33.5771,34.9711,103372,
DIMOS_ATHIENOU.kml,Dimos Athienou,Δήμος Αθιένου,Dimos Athienou,ΛΑΡΝΑΚΑ,"92197668,97601","80220,626662",1,2144,33.5378,35.045,83518,
DIMOS_DROMOLAXIAS_MENEOU.kml,Dimos Dromolaxias-Meneou,Δήμος Δρομολαξιάς-Μενεού,Dimos Dromolaxias-Meneou,ΛΑΡΝΑΚΑ,"57643915,520205","51512,07524",1,1099,33.5821,34.8637,44060,
DIMOS_KOURIOU.kml,Dimos Kouriou,Δήμος Κουρίου,Dimos Kouriou,ΛΕΜΕΣΟΣ,"179898235,429126","111425,853203",1,2907,32.9267,34.6558,112333,
DIMOS_LAKATAMEIAS.kml,Dimos Lakatameias,Δήμος Λακατάμειας,Dimos Lakatameias,ΛΕΥΚΩΣΙΑ,"54997145,290078","63289,864524",1,2899,33.3163,35.0902,112028,
DIMOS_LARNAKAS.kml,Dimos Larnakas,Δήμος Λάρνακας,Dimos Larnakas,ΛΑΡΝΑΚΑ,"56906723,820323","82363,663955",1,2762,33.6304,34.9268,106874,
DIMOS_LATSION_GERIOU.kml,Dimos Latsion-Geriou,Δήμος Λατσιών-Γερίου,Dimos Latsion-Geriou,ΛΕΥΚΩΣΙΑ,"49514129,462579","55583,953521",1,1943,33.405,35.1005,75985,
DIMOS_LEFKARON.kml,Dimos Lefkaron,Δήμος Λευκάρων,Dimos Lefkaron,ΛΑΡΝΑΚΑ,"152368775,480946","113278,595395",1,2898,33.3089,34.8564,111996,
