file,name,DIST_CODE,VIL_CODE,VIL_CCD,VIL_NM_E,VIL_NM_G,polygons,vertices,centroid_lon,centroid_lat,bytes,simplified_tolerance_deg
AFANTEIA_ORNITHI.kml,AFANTEIA (ORNITHI),3,232,3232,AFANTEIA (ORNITHI),ΑΦΑΝΤΕΙΑ (ΟΡΝΙΘΙ),1,809,33.5713,35.1484,33025,
AGIA.kml,AGIA,1,124,1124,AGIA,ΑΓΙΑ,1,870,33.5595,35.1133,35250,
AGIA_ANNA.kml,AGIA ANNA,4,211,4211,AGIA ANNA,ΑΓΙΑ ΑΝΝΑ,1,341,33.4881,34.9411,15299,
AGIA_EIRINI.kml,AGIA EIRINI,2,128,2128,AGIA EIRINI,ΑΓΙΑ ΕΙΡΗΝΗ,1,1181,32.9719,35.2925,47052,
AGIA_MARINA_KELOKED.kml,AGIA MARINA KELOKED.,6,221,6221,AGIA MARINA KELOKED.,ΑΓΙΑ ΜΑΡΙΝΑ ΚΕΛΟΚΕΔΑΡΩΝ,1,355,32.6131,34.8251,15894,
AGIA_MARINA_XYLIATOU.kml,AGIA MARINA XYLIATOU,1,324,1324,AGIA MARINA XYLIATOU,ΑΓΙΑ ΜΑΡΙΝΑ ΞΥΛΙΑΤΟΥ,1,2161,33.0516,35.0423,84121,
AGIA_NAPA_ACHNA.kml,"AGIA NAPA, ACHNA",3,111,3111,"AGIA NAPA, ACHNA","ΑΓΙΑ ΝΑΠΑ, ΑΧΝΑ",1,1064,33.796,35.0485,42619,
AGIA_NAPA_AGIA_NAPA.kml,"AGIA NAPA, AGIA NAPA",3,100,3100,"AGIA NAPA, AGIA NAPA","ΑΓΙΑ ΝΑΠΑ, ΑΓΙΑ ΝΑΠΑ",3,5533,33.9929,34.9798,211883,
AGIA_NAPA_AVGOROU.kml,"AGIA NAPA, AVGOROU",3,110,3110,"AGIA NAPA, AVGOROU","ΑΓΙΑ ΝΑΠΑ, ΑΥΓΟΡΟΥ",1,1399,33.8411,35.0459,55291,
AGIA_NAPA_LIOPETRI.kml,"AGIA NAPA, LIOPETRI",3,104,3104,"AGIA NAPA, LIOPETRI","ΑΓΙΑ ΝΑΠΑ, ΛΙΟΠΕΤΡΙ",1,1086,33.8894,35.0016,43502,
AGIA_NAPA_SOTIRA.kml,"AGIA NAPA, SOTIRA",3,103,3103,"AGIA NAPA, SOTIRA","ΑΓΙΑ ΝΑΠΑ, ΣΩΤΗΡΑ",3,1942,33.9273,34.9972,76280,
AGIA_TRIADA.kml,AGIA TRIADA,3,353,3353,AGIA TRIADA,ΑΓΙΑ ΤΡΙΑΔΑ,1,1365,34.2487,35.5325,53978,
