file,name,DIST_CODE,VIL_CODE,QRTR_CODE,QRTR_NM_E,QRTR_NM_G,VIL_CCD,QRTR_CCD,polygons,vertices,centroid_lon,centroid_lat,bytes,simplified_tolerance_deg
AIGIALOUSA_ARCHANGELOS.kml,AIGIALOUSA ARCHANGELOS,3,352,1,ARCHANGELOS,ΑΡΧΑΓΓΕΛΟΣ,3352,335201,1,3111,34.2376,35.5463,120104,
AIGIALOUSA_KALAMIA.kml,AIGIALOUSA KALAMIA,3,352,2,KALAMIA,ΚΑΛΑΜΙΑ,3352,335202,1,775,34.1721,35.5395,31897,
AMATHOUNTA_AG_ATHANASIOS_AGIOS_ATHANASIOS.kml,"AMATHOUNTA, AG. ATHANASIOS AGIOS ATHANASIOS",5,12,4,AGIOS ATHANASIOS,ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ,5012,501204,1,734,33.0525,34.7289,30418,
AMATHOUNTA_AG_ATHANASIOS_AGIOS_STYLIANOS.kml,"AMATHOUNTA, AG. ATHANASIOS AGIOS STYLIANOS",5,12,2,AGIOS STYLIANOS,ΑΓΙΟΣ ΣΤΥΛΙΑΝΟΣ,5012,501202,1,182,33.0642,34.7012,9557,
AMATHOUNTA_AG_ATHANASIOS_AG_GEORGIOS_FRAGK.kml,"AMATHOUNTA, AG. ATHANASIOS AG GEORGIOS (FRAGK)",5,12,1,AG GEORGIOS (FRAGK),ΑΓ ΓΕΩΡΓΙΟΣ (ΦΡΑΓΚ),5012,501201,1,175,33.0713,34.6918,9319,
AMATHOUNTA_AG_ATHANASIOS_APOSTOLOS_LOUKAS.kml,"AMATHOUNTA, AG. ATHANASIOS APOSTOLOS LOUKAS",5,12,3,APOSTOLOS LOUKAS,ΑΠΟΣΤΟΛΟΣ ΛΟΥΚΑΣ,5012,501203,1,68,33.0554,34.7084,5255,
AMATHOUNTA_GERMASOGEIA_AGIA_PARASKEVI.kml,"AMATHOUNTA, GERMASOGEIA AGIA PARASKEVI",5,13,1,AGIA PARASKEVI,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,5013,501301,1,757,33.0769,34.7367,31265,
AMATHOUNTA_GERMASOGEIA_POTAMOS_GERMASOGEIAS.kml,"AMATHOUNTA, GERMASOGEIA POTAMOS GERMASOGEIAS",5,13,2,POTAMOS GERMASOGEIAS,ΠΟΤΑΜΟΣ ΓΕΡΜΑΣΟΓΕΙΑΣ,5013,501302,1,787,33.0908,34.7002,32444,
ANATOLIKI_PAFOS_GEROSKIPOU_GEROSKIPOU.kml,"ANATOLIKI PAFOS, GEROSKIPOU GEROSKIPOU",6,10,1,GEROSKIPOU,ΓΕΡΟΣΚΗΠΟΥ,6010,601001,1,670,32.449,34.7553,27975,
ANATOLIKI_PAFOS_GEROSKIPOU_KOLONI.kml,"ANATOLIKI PAFOS, GEROSKIPOU KOLONI",6,10,2,KOLONI,ΚΟΛΩΝΗ,6010,601002,1,376,32.4677,34.7459,16847,
ARADIPPOU_ARADIPPOU_AGIOS_FANOURIOS.kml,"ARADIPPOU, ARADIPPOU AGIOS FANOURIOS",4,10,1,AGIOS FANOURIOS,ΑΓΙΟΣ ΦΑΝΟΥΡΙΟΣ,4010,401001,1,614,33.5851,34.9332,25862,
ARADIPPOU_ARADIPPOU_APOSTOLOS_LOUKAS.kml,"ARADIPPOU, ARADIPPOU APOSTOLOS LOUKAS",4,10,2,APOSTOLOS LOUKAS,ΑΠΟΣΤΟΛΟΣ ΛΟΥΚΑΣ,4010,401002,1,1133,33.5817,34.9714,45477,
ARADIPPOU_ARADIPPOU_VLACHOS.kml,"ARADIPPOU, ARADIPPOU VLACHOS",4,10,3,VLACHOS,ΒΛΑΧΟΣ,4010,401003,1,412,33.5771,34.9093,18198,
DIMOS_AMMOCHOSTOU_AGIA_ZONI.kml,DIMOS AMMOCHOSTOU AGIA ZONI,3,0,9,AGIA ZONI,ΑΓΙΑ ΖΩΝΗ,3000,300009,1,165,33.9505,35.1064,8880,
DIMOS_AMMOCHOSTOU_AGIOS_GEORGIOS.kml,DIMOS AMMOCHOSTOU AGIOS GEORGIOS,3,0,8,AGIOS GEORGIOS,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,3000,300008,1,294,33.9386,35.0936,13772,
DIMOS_AMMOCHOSTOU_AGIOS_IOANNIS.kml,DIMOS AMMOCHOSTOU AGIOS IOANNIS,3,0,3,AGIOS IOANNIS,ΑΓΙΟΣ ΙΩΑΝΝΗΣ,3000,300003,5,2010,33.9565,35.1197,79462,
DIMOS_AMMOCHOSTOU_AGIOS_LOUKAS.kml,DIMOS AMMOCHOSTOU AGIOS LOUKAS,3,0,4,AGIOS LOUKAS,ΑΓΙΟΣ ΛΟΥΚΑΣ,3000,300004,1,439,33.9026,35.1267,19232,
DIMOS_AMMOCHOSTOU_AGIOS_MEMNON.kml,DIMOS AMMOCHOSTOU AGIOS MEMNON,3,0,5,AGIOS MEMNON,ΑΓΙΟΣ ΜΕΜΝΩΝ,3000,300005,1,453,33.9702,35.0871,19749,
DIMOS_AMMOCHOSTOU_AGIOS_NIKOLAOS.kml,DIMOS AMMOCHOSTOU AGIOS NIKOLAOS,3,0,6,AGIOS NIKOLAOS,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,3000,300006,1,217,33.9535,35.112,10862,
DIMOS_AMMOCHOSTOU_AKROPOLIS.kml,DIMOS AMMOCHOSTOU AKROPOLIS,3,0,12,AKROPOLIS,ΑΚΡΟΠΟΛΙΣ,3000,300012,1,245,33.9486,35.1,11895,
DIMOS_AMMOCHOSTOU_CHRYSI_AKTI.kml,DIMOS AMMOCHOSTOU CHRYSI AKTI,3,0,2,CHRYSI AKTI,ΧΡΥΣΗ ΑΚΤΗ,3000,300002,1,234,33.9611,35.1038,11486,
DIMOS_AMMOCHOSTOU_CHRYSOSPILIOTISSA.kml,DIMOS AMMOCHOSTOU CHRYSOSPILIOTISSA,3,0,10,CHRYSOSPILIOTISSA,ΧΡΥΣΟΣΠΗΛΙΩΤΙΣΣΑ,3000,300010,1,340,33.9291,35.1062,15522,
